"ID","NOMBRE","LINK","FECHA_CREACION","SERIES"
"194","Bee Train","https://myanimelist.net/anime/producer/5/Bee_Train","1997-06-05","34"
"195","Studio Tulip","https://myanimelist.net/anime/producer/210/Studio_Tulip","1986-09-01","16"
"196","animate Film","https://myanimelist.net/anime/producer/155/animate_Film","1987-07-01","84"
"197","Broccoli","https://myanimelist.net/anime/producer/116/Broccoli","1994-03-25","33"
"198","Pierrot","https://myanimelist.net/anime/producer/1/Pierrot","1979-05-01","307"
"199","Digital Works","https://myanimelist.net/anime/producer/206/Digital_Works","2001-02-01","90"
"200","MS Pictures","https://myanimelist.net/anime/producer/319/MS_Pictures","2001-02-01","164"
"201","Y.O.U.C","https://myanimelist.net/anime/producer/239/YOUC","null","83"
"202","Zero-G Room","https://myanimelist.net/anime/producer/1131/Zero-G_Room","null","9"
"203","Studio Blanc.","https://myanimelist.net/anime/producer/478/Studio_Blanc","2008-09-03","9"
"204","Toei Animation","https://myanimelist.net/anime/producer/18/Toei_Animation","1948-01-23","900"
"205","Sunrise","https://myanimelist.net/anime/producer/14/Sunrise","1976-11-01","576"
"206","Tezuka Productions","https://myanimelist.net/anime/producer/200/Tezuka_Productions","1968-01-23","121"
"207","Green Bunny","https://myanimelist.net/anime/producer/152/Green_Bunny","null","41"
"208","TV Asahi","https://myanimelist.net/anime/producer/55/TV_Asahi","1957-11-01","192"
"209","Milky Cartoon","https://myanimelist.net/anime/producer/398/Milky_Cartoon","2020-03-01","22"
"210","Slow Curve","https://myanimelist.net/anime/producer/735/Slow_Curve","null","12"
"211","Polygon Pictures","https://myanimelist.net/anime/producer/1023/Polygon_Pictures","1983-07-22","51"
"212","NHK","https://myanimelist.net/anime/producer/111/NHK","1950-06-01","1117"
"213","Amuse","https://myanimelist.net/anime/producer/1313/Amuse","1978-10-16","19"
"214","Calf Studio","https://myanimelist.net/anime/producer/1063/Calf_Studio","2014-05-01","14"
"215","Studio Jemi","https://myanimelist.net/anime/producer/2300/Studio_Jemi","null","8"
