"ID","NOMBRE","LINK","FECHA_CREACION","SERIES"
"189","Bushiroad Move","https://myanimelist.net/anime/producer/2228/Bushiroad_Move","2016-09-29","14"
"190","Bushiroad Creative","https://myanimelist.net/anime/producer/2533/Bushiroad_Creative","null","3"
"191","Toy's Factory","https://myanimelist.net/anime/producer/1390/Toys_Factory","1990-05-30","73"
"192","Jinnan Studio","https://myanimelist.net/anime/producer/1517/Jinnan_Studio","1993-08-11","23"
"193","Toei Video","https://myanimelist.net/anime/producer/141/Toei_Video","1972-11-07","62"
"194","AMG MUSIC","https://myanimelist.net/anime/producer/779/AMG_MUSIC","null","9"
"195","Amusement Media Academy","https://myanimelist.net/anime/producer/1401/Amusement_Media_Academy","1993-12-06","8"
"196","MAPPA","https://myanimelist.net/anime/producer/569/MAPPA","2011-06-14","90"
"197","Kansai Telecasting","https://myanimelist.net/anime/producer/1412/Kansai_Telecasting","1958-02-01","42"
"198","Bit grooove promotion","https://myanimelist.net/anime/producer/2074/Bit_grooove_promotion","2012-05-02","58"
"199","VAP","https://myanimelist.net/anime/producer/29/VAP","1981-01-24","165"
"200","AIC","https://myanimelist.net/anime/producer/48/AIC","1982-07-15","258"
"201","AIC Spirits","https://myanimelist.net/anime/producer/83/AIC_Spirits","null","19"
"202","BeSTACK","https://myanimelist.net/anime/producer/89/BeSTACK","1993-12-06","9"
"203","Hotline","https://myanimelist.net/anime/producer/723/Hotline","2007-11-20","6"
"204","CA-Cygames Anime Fund","https://myanimelist.net/anime/producer/1901/CA-Cygames_Anime_Fund","null","7"
"205","Crunchyroll SC Anime Fund","https://myanimelist.net/anime/producer/1784/Crunchyroll_SC_Anime_Fund","2016-02-01","27"
"206","EMT Squared","https://myanimelist.net/anime/producer/1264/EMT_Squared","2013-07-25","33"
"207","Futabasha","https://myanimelist.net/anime/producer/1377/Futabasha","1948-05-01","22"
"208","Studio Blanc.","https://myanimelist.net/anime/producer/478/Studio_Blanc","2008-09-03","9"
"209","Seven Arcs","https://myanimelist.net/anime/producer/35/Seven_Arcs","2019-10-07","34"
"210","Hakuhodo","https://myanimelist.net/anime/producer/1563/Hakuhodo","1925-02-11","15"
"211","Saber Links","https://myanimelist.net/anime/producer/2671/Saber_Links","2017-07-01","5"
"212","Zero-G","https://myanimelist.net/anime/producer/1379/Zero-G","2011-06-01","33"
"213","Earth Star Entertainment","https://myanimelist.net/anime/producer/925/Earth_Star_Entertainment","1939-06-01","38"
"214","TVA advance","https://myanimelist.net/anime/producer/2672/TVA_advance_","2021-04-01","1"
"215","Cygames","https://myanimelist.net/anime/producer/1587/Cygames","2011-05-01","40"
"216","Music Brains","https://myanimelist.net/anime/producer/2384/Music_Brains","null","1"
"217","OLM Team Yoshioka","https://myanimelist.net/anime/producer/2326/OLM_Team_Yoshioka","null","3"
"218","Gonzo","https://myanimelist.net/anime/producer/3/Gonzo","2000-02-29","143"
"219","Bandai Namco Music Live","https://myanimelist.net/anime/producer/2425/Bandai_Namco_Music_Live","null","45"
"220","Crest","https://myanimelist.net/anime/producer/2381/Crest","null","4"
"221","Shufu to Seikatsusha","https://myanimelist.net/anime/producer/2730/Shufu_to_Seikatsusha","1948-04-01","4"
"222","Sunrise","https://myanimelist.net/anime/producer/14/Sunrise","1976-11-01","577"
"223","Sun TV","https://myanimelist.net/anime/producer/1604/Sun_TV","1969-05-01","10"
"224","Simplicity","https://myanimelist.net/anime/producer/2072/Simplicity","2016-09-16","4"
"225","Creek","https://myanimelist.net/anime/producer/2430/Creek","null","2"
"226","Sogo Vision","https://myanimelist.net/anime/producer/161/Sogo_Vision","null","13"
"227","MediaNet Pictures","https://myanimelist.net/anime/producer/2222/MediaNet_Pictures","null","7"
"228","Happinet Phantom Studios","https://myanimelist.net/anime/producer/2431/Happinet_Phantom_Studios","2021-01-20","15"
"229","Rakuonsha","https://myanimelist.net/anime/producer/211/Rakuonsha","null","78"
"230","Studio Jack","https://myanimelist.net/anime/producer/829/Studio_Jack","1970-04-01","86"
"231","Tohjak","https://myanimelist.net/anime/producer/2476/Tohjak","2013-08-24","2"
"232","Hifumi Shobo","https://myanimelist.net/anime/producer/2477/Hifumi_Shobo","1951-12-03","2"
"233","Magic Bus","https://myanimelist.net/anime/producer/207/Magic_Bus","1972-04-01","96"
"234","Broccoli","https://myanimelist.net/anime/producer/116/Broccoli","1994-03-25","33"
"235","Brain's Base","https://myanimelist.net/anime/producer/112/Brains_Base","1996-07-01","109"
"236","Victor Entertainment","https://myanimelist.net/anime/producer/123/Victor_Entertainment","1972-04-25","104"
